Longitude,Latitude
-84.327693,33.835735
-84.330167,33.834623
-84.331496,33.834046
-84.333009,33.833388
-84.333796,33.833053
-84.33492,33.832563
-84.338172,33.83111
-84.339941,33.830369
-84.341122,33.829847
-84.341887,33.829517
-84.342414,33.829257
-84.342928,33.828967
-84.343333,33.828716
-84.343719,33.828448
-84.344121,33.828135
-84.344505,33.827818
-84.344787,33.827592
-84.345335,33.827184
-84.345758,33.8269
-84.346196,33.826637
-84.346647,33.826373
-84.347054,33.826142
-84.34748,33.825913
-84.348401,33.825463
-84.349438,33.824949
-84.349744,33.824805
-84.3505,33.82447
-84.350895,33.824311
-84.351352,33.824144
-84.351905,33.82397
-84.35247,33.823817
-84.352821,33.823791
-84.353149,33.823754
-84.353477,33.823712
-84.353713,33.823686
-84.353976,33.823663
-84.354253,33.823646
-84.355067,33.823615
-84.355587,33.823557
-84.356243,33.823511
-84.356474,33.823491
-84.356685,33.823468
-84.356825,33.823446
-84.356971,33.823416
-84.357147,33.823373
-84.357314,33.823322
-84.357471,33.82326
-84.357623,33.82319
-84.357769,33.823112
-84.357926,33.823007
-84.358027,33.822937
-84.358137,33.822847
-84.358221,33.822769
-84.358381,33.822599
-84.358495,33.822455
-84.358607,33.8223
-84.358788,33.822043
-84.358979,33.821748
-84.359196,33.821411
-84.359372,33.821142
-84.35959,33.820801
-84.359609,33.820772
-84.359869,33.820376
-84.360328,33.819697
-84.360532,33.819383
-84.360811,33.81897
-84.361291,33.81822
-84.361559,33.817825
-84.361791,33.817489
-84.362055,33.817113
-84.362534,33.816465
-84.362734,33.816254
-84.362936,33.816043
-84.3631,33.815878
-84.363386,33.81558
-84.363797,33.815226
-84.365258,33.814022
-84.366424,33.813253
-84.366962,33.81293
-84.367759,33.812508
-84.368454,33.812174
-84.369106,33.811881
-84.36948,33.811713
-84.369971,33.811521
-84.370263,33.811419
-84.370698,33.811269
-84.371308,33.811076
-84.371693,33.810967
-84.37263,33.810754
-84.372936,33.81068
-84.373347,33.81056
-84.373475,33.810523
-84.373772,33.810417
-84.374095,33.810277
-84.374418,33.810121
-84.374708,33.80996
-84.375005,33.809764
-84.375306,33.809557
-84.375807,33.809162
-84.377219,33.807903
-84.378093,33.807172
-84.378546,33.806852
-84.378768,33.80674
-84.379136,33.806562
-84.379715,33.806306
-84.380293,33.8061
-84.380704,33.805934
-84.381207,33.80573
-84.381569,33.805542
-84.381847,33.805383
-84.38213,33.805209
-84.382443,33.804993
-84.38309,33.804453
-84.383751,33.803901
-84.384245,33.803501
-84.384576,33.803228
-84.384797,33.803039
-84.385707,33.802286
-84.386,33.802044
-84.386431,33.801714
-84.386662,33.801551
-84.386948,33.801369
-84.387016,33.801326
-84.387251,33.801191
-84.387555,33.801037
-84.387729,33.800957
-84.387873,33.80089
-84.387898,33.80088
-84.388129,33.800782
-84.389344,33.800269
-84.389943,33.800023
-84.390544,33.799766
-84.391086,33.799505
-84.391431,33.799289
-84.391667,33.799119
-84.391978,33.798866
-84.392216,33.798618
-84.392457,33.798341
-84.392622,33.798094
-84.392786,33.797818
-84.392952,33.79749
-84.393019,33.797292
-84.393039,33.797071
-84.393026,33.796872
-84.392986,33.79666
-84.392898,33.796477
-84.392777,33.796278
-84.392638,33.796108
-84.392474,33.795964
-84.392262,33.795827
-84.392007,33.795717
-84.391764,33.795646
-84.391495,33.795603
-84.391264,33.795586
-84.389961,33.795538
-84.3899,33.795536
-84.389335,33.795434
-84.389255,33.795412
-84.389199,33.79538
-84.389181,33.79537
-84.389126,33.795317
-84.389078,33.79524
-84.389081,33.795147
-84.389094,33.794786
-84.389105,33.794468
-84.389142,33.793376
-84.389144,33.793316
-84.389146,33.793261
-84.389159,33.792888
-84.389175,33.792435
-84.389184,33.792188
-84.389188,33.79209
-84.38919,33.792033
-84.389194,33.791925
-84.389206,33.791769
-84.389214,33.791666
-84.389238,33.791374
-84.389243,33.791308
-84.389244,33.791291
-84.389256,33.791146
-84.389258,33.791122
-84.38927,33.790968
-84.389293,33.790658
-84.389297,33.790607
-84.3893,33.790569
-84.389301,33.790525
-84.389303,33.7904
-84.389303,33.79039
-84.389308,33.790139
-84.389312,33.78993
-84.389288,33.788839
-84.389283,33.788583
-84.389259,33.7875
-84.389254,33.787262
-84.38925,33.787085
-84.389246,33.786898
-84.389243,33.786761
-84.389242,33.786705
-84.389244,33.786585
-84.389244,33.786521
-84.389229,33.785757
-84.389229,33.78573
-84.389217,33.785058
-84.389216,33.785035
-84.389206,33.784441
-84.389206,33.784165
-84.389206,33.783932
-84.389206,33.783858
-84.389206,33.783635
-84.389206,33.783538
-84.389206,33.783404
-84.389209,33.783233
-84.389209,33.783208
-84.389211,33.783101
-84.389213,33.782925
-84.389225,33.782163
-84.389215,33.781961
-84.389211,33.781866
-84.389209,33.781835
-84.389196,33.781729
-84.389184,33.781633
-84.389168,33.781507
-84.389146,33.781387
-84.389132,33.781304
-84.389123,33.781258
-84.389092,33.781081
-84.389044,33.780816
-84.389013,33.780644
-84.389,33.780569
-84.388988,33.780499
-84.388834,33.779619
-84.388823,33.779566
-84.388808,33.77949
-84.388783,33.779302
-84.388775,33.77918
-84.388769,33.779092
-84.388765,33.779033
-84.388776,33.77841
-84.388783,33.778049
-84.388783,33.777827
-84.388785,33.77759
-84.388793,33.776917
-84.388793,33.776842
-84.388794,33.776748
-84.388803,33.776161
